2022-10-20 22:13:28,520 |     INFO | 192.168.1.144:51741 | READ
2022-10-20 22:17:26,729 |     INFO | 192.168.1.144:56360 | READ
2022-10-20 22:18:20,255 |     INFO | 192.168.1.144:56375 | READ
2022-10-20 22:19:14,682 |     INFO | 192.168.1.144:56394 | READ
2022-10-20 22:20:23,874 |     INFO | 192.168.1.144:56416 | READ
2022-10-20 22:20:49,747 |     INFO | 192.168.1.144:56425 | READ
2022-10-20 22:23:46,602 |     INFO | 192.168.1.144:58930 | READ
2022-10-20 22:25:18,655 |     INFO | 192.168.1.144:58958 | READ
2022-10-20 22:25:44,711 |     INFO | 192.168.1.144:58968 | READ
2022-10-20 22:27:11,912 |     INFO | 192.168.1.144:58998 | READ
2022-10-20 22:28:30,648 |     INFO | 192.168.1.144:59023 | READ
2022-10-20 22:29:28,408 |     INFO | 192.168.1.144:59045 | READ
2022-10-20 22:38:44,806 |     INFO | 192.168.1.144:56605 | READ
2022-10-20 22:39:59,682 |     INFO | 192.168.1.144:62732 | READ
2022-10-20 22:40:25,149 |     INFO | 192.168.1.144:62741 | READ
2022-10-20 22:41:23,094 |     INFO | 192.168.1.144:62766 | READ
2022-10-20 22:42:27,167 |     INFO | 192.168.1.144:62783 | READ
2022-10-20 22:42:53,686 |     INFO | 192.168.1.144:62790 | READ
2022-10-20 22:43:29,246 |     INFO | 192.168.1.144:62804 | READ
2022-10-20 22:44:29,527 |     INFO | 192.168.1.144:59214 | READ
2022-10-20 22:44:59,252 |     INFO | 192.168.1.144:55994 | READ
2022-10-20 22:45:34,847 |     INFO | 192.168.1.144:56007 | READ
2022-10-20 22:45:53,587 |     INFO | 192.168.1.144:56014 | READ
2022-10-20 22:47:04,774 |     INFO | 192.168.1.144:56036 | READ
2022-10-20 22:48:04,647 |     INFO | 192.168.1.144:56056 | READ
2022-10-20 22:48:27,170 |     INFO | 192.168.1.144:56065 | READ
2022-10-20 22:49:17,609 |     INFO | 192.168.1.144:56083 | READ
2022-10-20 22:49:41,381 |     INFO | 192.168.1.144:56242 | READ
2022-10-20 22:50:12,091 |     INFO | 192.168.1.144:51982 | READ
2022-10-20 22:50:32,591 |     INFO | 192.168.1.144:51989 | READ
2022-10-20 22:51:14,839 |     INFO | 192.168.1.144:52004 | READ
